,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
0,South Africa,PMO - US,Direct Drop,DDP,Air,2008-01-29,2008-01-29,2008-01-29,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Zidovudine,Retrovir,10mg/ml,Oral solution,200,40,317.6,7.94,0.04,GSK Mississauga (Canada),Yes,1047.0,5869.655000000001,0.51,6187.765000000001
1,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23.0,2149.05,5.36,5506.41
2,South Africa,PMO - US,Direct Drop,DDP,Air,2009-06-25,2009-04-29,2009-04-29,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,6000,80640.0,13.44,0.22,GSK Aranda,Yes,1047.0,5869.655000000001,158.05,86667.705
3,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-07-31,2009-04-21,2009-04-21,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,30,1080.0,36.0,0.12,ABBVIE (Abbott) Logis. UK,Yes,1047.0,5869.655000000001,2.12,6951.775000000001
4,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-11-23,2007-11-23,2007-11-23,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",Yes,1955.0,16095.39,443.88,293964.27
5,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2009-03-04,2009-03-04,2009-03-04,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,289,7803.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,79.0,1104.69,15.29,8922.980000000001
6,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-04-24,2008-04-24,2008-04-24,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,500,10925.0,21.85,0.73,"Aspen-OSD, Port Elizabeth, SA",No,1047.0,5869.655000000001,17.48,16812.135
7,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-11-24,2008-11-24,2008-11-24,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1100,12540.0,11.4,0.19,"Aurobindo Unit III, India",Yes,159.0,2568.6,24.58,15133.18
8,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-08-25,2008-08-14,2008-08-14,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,10mg/ml,Oral suspension,240,40,557.6,13.94,0.06,"BI, Ingelheim, Germany",No,1047.0,5869.655000000001,0.89,6428.145000000001
9,Zimbabwe,PMO - US,Direct Drop,CIP,Air,2009-02-03,2009-02-03,2009-02-03,HRDT,HIV test,BIOLYTICAL LABORATORIES INC.,"#109440**HIV 1/2, INSTI HIV Antibody Individual POC, 1 Test","HIV 1/2, INSTI HIV Antibody Individual POC, 1 Test",INSTi,300mg,Test kit,1,5000,12706.65,2.54,2.54,bioLytical Laboratories,Yes,1047.0,5869.655000000001,24.91,18601.215
10,Namibia,PMO - US,Direct Drop,EXW,Air,2009-01-27,2009-01-27,2009-01-27,HRDT,HIV test,INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,"HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",Clearview,300mg,Test kit,25,3,225.0,75.0,3.0,Inverness USA,Yes,3.0,963.34,0.44,1188.7800000000002
11,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-04-07,2009-04-07,2009-04-07,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,9000,21600.0,2.4,0.04,"Aurobindo Unit III, India",Yes,2228.0,9809.7,42.34,31452.04
12,South Africa,PMO - US,Direct Drop,DDP,Air,2009-03-30,2009-01-21,2009-01-21,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,1000,2920.0,2.92,0.05,"Aurobindo Unit III, India",Yes,1047.0,5869.655000000001,5.72,8795.375
13,Haiti,PMO - US,Direct Drop,EXW,Air,2007-01-18,2007-01-18,2007-01-18,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,256.0,1760.32,47.04,61807.36
14,Zimbabwe,PMO - US,Direct Drop,EXW,Air,2008-11-17,2008-11-17,2008-11-17,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,Yes,373.0,4112.46,188.21,121932.33000000002
15,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 100mg [Videx],chewable tablets, 60 Tabs",Didanosine,Videx,100mg,Chewable/dispersible tablet,60,7,91.35,13.05,0.22,"BMS Meymac, France",No,1047.0,5869.655000000001,0.18,5961.185000000001
16,Tanzania,PMO - US,Direct Drop,CIP,Air,2009-04-21,2009-04-21,2009-04-21,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,50000,2520000.0,50.4,1.68,"MSD, Haarlem, NL",Yes,4093.0,9339.0,4939.2,2534278.2
17,Mozambique,PMO - US,Direct Drop,EXW,Air,2009-03-23,2009-03-23,2009-03-23,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,5700,182400.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1906.0,23914.8,357.5,206672.3
18,South Africa,PMO - US,Direct Drop,DDP,Air,2009-05-05,2008-12-23,2008-12-23,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,960,1152.0,1.2,0.01,"BMS Meymac, France",Yes,1047.0,5869.655000000001,2.26,7023.915000000001
19,South Africa,PMO - US,Direct Drop,DDP,Air,2009-05-12,2008-12-30,2008-12-30,ARV,Pediatric,S. BUYS WHOLESALER,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",Lamivudine,Epivir,10mg/ml,Oral solution,240,1800,10512.0,5.84,0.02,GSK Mississauga (Canada),Yes,1047.0,5869.655000000001,20.6,16402.255
20,Zimbabwe,PMO - US,Direct Drop,CIP,Air,2006-11-07,2006-11-07,2006-11-07,ARV,Adult,INTERNATIONAL HEALTHCARE DISTRIBUTORS,"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",Lopinavir/Ritonavir,Kaletra,133.3/33.3mg,Capsule,180,260,11096.8,42.68,0.24,ABBVIE (Abbott) St. P'burg USA,Yes,135.0,5869.655000000001,47.04,17013.495000000003
21,Rwanda,PMO - US,Direct Drop,EXW,Air,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,71577,1087970.4,15.2,0.51,"Cipla, Goa, India",No,1047.0,5869.655000000001,47.04,1093887.095
22,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-10-15,2007-10-15,2007-10-15,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3000,40500.0,13.5,0.22,"Aurobindo Unit III, India",Yes,332.0,4454.62,64.8,45019.420000000006
23,Kazakhstan,PMO - US,Direct Drop,DDP,Air,2007-12-27,2007-12-27,2007-12-27,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,300mg,Test kit,100,50,17500.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,1047.0,5869.655000000001,28.0,23397.655
24,Rwanda,PMO - US,Direct Drop,CIP,Air,2008-07-23,2008-07-22,2008-07-22,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,47879,569281.31,11.89,0.2,"Aurobindo Unit III, India",Yes,5311.0,30408.04,910.85,600600.2000000001
25,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-07-10,2008-07-14,2008-07-14,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,50,663.5,13.27,0.22,GSK Aranda,Yes,1047.0,5869.655000000001,1.06,6534.215000000001
26,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-07-10,2008-07-08,2008-07-08,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,250,715.0,2.86,0.1,"MSD Midrand, J'burg, SA",No,1047.0,5869.655000000001,1.14,6585.795000000001
27,Ethiopia,PMO - US,Direct Drop,EXW,Air,2008-11-03,2008-10-13,2008-10-13,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,5958,160866.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,2147.0,11066.17,257.39,172189.56000000003
28,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76.0,2282.57,27.2,19309.77
29,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2008-06-17,2008-06-17,2008-06-17,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,300mg,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,509.0,5446.51,57.88,41680.39
30,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-06-03,2008-06-03,2008-06-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654.0,4051.34,154.29,100637.62999999999
31,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,80,1830.4,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Yes,1047.0,5869.655000000001,3.59,7703.645
32,Guyana,PMO - US,Direct Drop,CIP,Air,2009-02-06,2009-02-06,2009-02-06,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,300mg,Test kit,25,108,4050.0,37.5,1.5,Not Applicable,Yes,1047.0,5869.655000000001,7.94,9927.595000000001
33,Tanzania,PMO - US,Direct Drop,FCA,Air,2009-05-04,2009-05-04,2009-05-04,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,2094,21526.32,10.28,0.17,ABBVIE Ludwigshafen Germany,Yes,237.0,5869.655000000001,42.19,27438.164999999997
34,Haiti,PMO - US,Direct Drop,CIP,Air,2009-03-31,2009-03-31,2009-03-31,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,50mg,Chewable/dispersible tablet,60,80,760.0,9.5,0.16,"BMS Meymac, France",Yes,43.0,260.0,1.49,1021.49
35,Namibia,PMO - US,Direct Drop,EXW,Air,2009-09-01,2009-09-01,2009-09-01,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",Clearview,300mg,Test kit,25,67,5025.0,75.0,3.0,Chembio Diagnostics Sys. Inc.,Yes,48.0,401.97,9.85,5436.820000000001
36,Haiti,PMO - US,Direct Drop,EXW,Air,2006-11-09,2006-11-09,2006-11-09,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,300mg,Test kit,100,15,6000.0,400.0,4.0,"Pacific Biotech, Thailand",Yes,36.0,1195.29,47.04,7242.33
37,Ethiopia,PMO - US,Direct Drop,EXW,Air,2007-01-15,2007-01-15,2007-01-15,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,4650,372000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,1707.0,24859.45,47.04,396906.49
38,South Africa,PMO - US,Direct Drop,DDP,Air,2008-01-21,2008-01-04,2008-01-04,ARV,Adult,"JSI R&T INSTITUTE, INC.","Stavudine 20mg [Zerit], capsules, 60 Caps",Stavudine,Zerit,20mg,Capsule,60,100,573.0,5.73,0.1,"BMS Meymac, France",No,1047.0,5869.655000000001,0.92,6443.575000000001
39,Botswana,PMO - US,Direct Drop,EXW,Air,2008-07-03,2008-07-03,2008-07-03,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,450,14400.0,32.0,1.6,"Trinity Biotech, Plc",Yes,154.0,2496.62,23.04,16919.66
40,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-08-20,2008-05-21,2008-05-21,ARV,Adult,S. BUYS WHOLESALER,"Lamivudine 150mg [Epivir], tablets, 60 Tabs",Lamivudine,Epivir,150mg,Tablet,60,2000,11060.0,5.53,0.09,GSK Cape Town Factory (South Africa),Yes,1047.0,5869.655000000001,17.7,16947.355
41,South Africa,PMO - US,Direct Drop,DDP,Truck,2008-07-10,2008-07-08,2008-07-08,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,60,1096.2,18.27,0.61,"BMS Meymac, France",No,1047.0,5869.655000000001,1.75,6967.6050000000005
42,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,10mg/ml,Oral suspension,240,40,540.4,13.51,0.06,"BI, Ingelheim, Germany",No,1047.0,5869.655000000001,1.06,6411.115000000001
43,South Africa,PMO - US,Direct Drop,DDP,Air,2009-03-17,2008-11-28,2008-11-28,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,176,3359.84,19.09,0.21,"Aurobindo Unit III, India",Yes,1047.0,5869.655000000001,6.59,9236.085000000001
44,Nigeria,PMO - US,Direct Drop,EXW,Air,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,504.0,5920.42,47.04,8193.060000000001
45,Rwanda,PMO - US,Direct Drop,EXW,Air,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,7416.0,64179.42,47.04,164026.46
46,Rwanda,PMO - US,Direct Drop,EXW,Air,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,300mg,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,710.0,3120.7,47.04,36167.74
47,Haiti,PMO - US,Direct Drop,EXW,Air,2007-08-25,2007-08-25,2007-08-25,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,300mg,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,60.0,3097.85,14.0,11861.85
48,Nigeria,PMO - US,Direct Drop,EXW,Air,2007-10-03,2007-10-03,2007-10-03,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,3263.0,20885.78,432.0,291317.78
49,South Africa,PMO - US,Direct Drop,DDP,Air,2008-01-21,2008-01-04,2008-01-04,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,200,340.0,1.7,0.01,"BMS Meymac, France",Yes,1047.0,5869.655000000001,0.54,6210.195000000001
50,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,1537.0,13507.92,29.37,31896.329999999998
51,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-12,2009-07-28,2009-07-28,ARV,Pediatric,S. BUYS WHOLESALER,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",Lamivudine,Epivir,10mg/ml,Oral solution,240,460,2838.2,6.17,0.03,GSK Mississauga (Canada),Yes,1047.0,5869.655000000001,5.56,8713.414999999999
52,Vietnam,PMO - US,Direct Drop,EXW,Air,2007-03-14,2007-03-14,2007-03-14,ARV,Adult,STRIDES ARCOLAB LIMITED,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,95500,144205.0,1.51,0.03,"Strides, Bangalore, India.",Yes,9170.0,42453.21,47.04,186705.25
53,Rwanda,PMO - US,Direct Drop,EXW,Air,2008-01-28,2008-01-28,2008-01-28,ARV,Adult,ASPEN PHARMACARE,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1609,27353.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",Yes,157.0,7922.24,43.76,35319.0
54,Vietnam,PMO - US,Direct Drop,EXW,Air,2008-06-01,2008-06-01,2008-06-01,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,6720,77145.6,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,522.0,3796.05,123.43,81065.08
55,Guyana,PMO - US,Direct Drop,EXW,Air,2008-12-15,2008-12-15,2008-12-15,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,300mg,Test kit,25,108,4050.0,37.5,1.5,Not Applicable,Yes,34.0,648.27,7.94,4706.21
56,Ethiopia,PMO - US,Direct Drop,EXW,Air,2008-11-03,2008-11-03,2008-11-03,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,3982,107514.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,1445.0,7303.25,210.73,115027.98
57,Haiti,PMO - US,Direct Drop,EXW,Air,2009-03-16,2009-03-16,2009-03-16,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,300mg,Test kit,100,1680,117600.0,70.0,0.7,Inverness Japan,Yes,382.0,3241.06,230.5,121071.56
58,Zambia,PMO - US,Direct Drop,EXW,Air,2007-01-08,2007-01-08,2007-01-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,2500,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,853.0,13569.49,47.04,113616.53
59,Nigeria,PMO - US,Direct Drop,EXW,Air,2007-01-10,2007-01-10,2007-01-10,HRDT,HIV test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,300mg,Test kit,100,10,850.0,85.0,0.85,"EY Laboratories, USA",Yes,1047.0,5869.655000000001,47.04,6766.695000000001
60,Nigeria,PMO - US,Direct Drop,EXW,Air,2008-02-05,2008-02-05,2008-02-05,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,300mg,Test kit - Ancillary,100,650,6.5,0.01,0.0,Inverness Japan,Yes,1047.0,5869.655000000001,0.01,5876.165000000001
61,Ethiopia,PMO - US,Direct Drop,DDP,Air,2008-05-09,2008-05-09,2008-05-09,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,15,691.42,46.09,2.3,"Trinity Biotech, Plc",Yes,1047.0,5869.655000000001,1.11,6562.185
62,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2009-03-02,2009-03-02,2009-03-02,ANTM,Malaria,IDA FOUNDATION,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",Quinine (as dihydrochloride),Generic,600mg/2ml,Injection,100,140,2731.4,19.51,0.2,Gland Pharma Ltd Pally Factory,Yes,5209.0,25405.22,5.35,28141.97
63,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-03-23,2009-03-23,2009-03-23,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,10560,72864.0,6.9,0.12,"Cipla, Goa, India",Yes,924.0,4225.93,142.81,77232.73999999999
64,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,2009-07-22,2009-07-22,2009-07-22,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,400,15344.0,38.36,0.11,ABBVIE (Abbott) Logis. UK,Yes,175.0,7642.97,30.07,23017.04
65,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-12,2009-08-05,2009-08-05,ARV,Adult,S. BUYS WHOLESALER,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,5000,41300.0,8.26,0.14,"Aurobindo Unit III, India",Yes,1047.0,5869.655000000001,80.95,47250.604999999996
66,Guyana,PMO - US,Direct Drop,EXW,Air,2006-12-29,2006-12-29,2006-12-29,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,900,36000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,316.0,4989.87,47.04,41036.91
67,Guyana,PMO - US,Direct Drop,EXW,Air,2009-02-25,2009-01-27,2009-01-27,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,100,2700.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,28.0,692.38,5.29,3397.67
68,South Africa,PMO - US,Direct Drop,DDP,Air,2009-03-24,2008-12-01,2008-12-01,ARV,Adult,S. BUYS WHOLESALER,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,5017,24583.3,4.9,0.08,"Aurobindo Unit III, India",Yes,1047.0,5869.655000000001,48.18,30501.135000000002
