,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
1249,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2008-04-08,2008-05-16,2008-05-16,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,73012,540288.8,7.4,0.12,"Cipla, Goa, India",Yes,14083.0,11053.53,864.46,552206.79
1250,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2008-03-28,2008-03-28,2008-03-28,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,27156,712845.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,9344.0,35246.5,1140.55,749232.05
1251,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2008-07-26,2008-07-26,2008-07-26,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,8000,16000.0,2.0,0.07,"Cipla, Goa, India",No,1047.0,5869.655000000001,25.6,21895.254999999997
1252,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2008-07-09,2008-07-09,2008-07-09,ARV,Pediatric,SCMS from RDC,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,100mg,Chewable/dispersible tablet,60,11640,90210.0,7.75,0.13,"Aurobindo Unit III, India",Yes,16778.0,9043.65,144.34,99397.98999999999
1253,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2009-03-03,2009-03-03,2009-03-03,ARV,Pediatric,SCMS from RDC,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180,325,5512.0,16.96,0.09,"MSD, Haarlem, NL",Yes,2085.0,23866.2,10.8,29389.0
1254,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2009-03-19,2009-03-19,2009-03-19,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,5426,61856.4,11.4,0.19,"Aurobindo Unit III, India",Yes,610.0,5869.655000000001,121.24,67847.29500000001
1255,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2009-06-01,2009-06-01,2009-06-01,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,260,6825.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,28.0,1180.71,13.38,8019.09
1256,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2009-06-01,2009-06-01,2009-06-01,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,105,809.55,7.71,0.13,"Aurobindo Unit III, India",Yes,6.0,1053.86,1.59,1864.9999999999998
1257,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-05-04,2007-05-04,2007-05-04,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,50112,814821.12,16.26,0.54,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,47.04,820737.8150000001
1258,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-05-16,2007-05-16,2007-05-16,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,1200,42960.0,35.8,0.6,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,47.04,48876.695
1259,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2007-07-03,2007-07-03,2007-07-03,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/40mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,Tablet - FDC,60,1018,7838.6,7.7,0.13,"Cipla, Goa, India",No,1047.0,5869.655000000001,12.54,13720.795000000002
1260,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-09-14,2007-09-14,2007-09-14,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,3285,4993.2,1.52,0.03,"Strides, Bangalore, India.",No,1047.0,5869.655000000001,7.99,10870.845
1261,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-10-17,2007-10-17,2007-10-17,ARV,Pediatric,SCMS from RDC,"Zidovudine 100mg [Retrovir], capsules, 100 Caps",Zidovudine,Retrovir,100mg,Capsule,100,2623,27279.2,10.4,0.1,GSK Crawley,Yes,159.0,1007.34,43.65,28330.190000000002
1262,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2007-12-10,2007-12-10,2007-12-10,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1650,22275.0,13.5,0.22,"Aurobindo Unit III, India",Yes,197.0,1637.0,35.64,23947.64
1263,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2008-01-17,2008-01-17,2008-01-17,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,479,19686.9,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,421.0,5947.88,31.5,25666.280000000002
