PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,4200,12180.0,2.9,0.05,"Aurobindo Unit III, India",No,See ASN-2274 (ID#:610),See ASN-2274 (ID#:610),19.49
FPQ-12766,SO-46500,DN-3658,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,5-May-14,6-Jun-14,20-Jun-14,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,97619,452952.16,4.64,0.15,"Cipla, Kurkumbh, India",Yes,9905,5445.73,560.3
FPQ-7217,SO-39600,DN-2215,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,15-Jun-11,6-Jul-11,6-Jul-11,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,3000,19710.0,6.57,0.22,"Aurobindo Unit III, India",Yes,263,13398.06,32.52
FPQ-10545,SO-43110,DN-2963,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,28-Feb-13,18-Feb-13,18-Feb-13,ARV,Pediatric,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,60/100/12mg,Chewable/dispersible tablet - FDC,60,10727,46126.1,4.3,0.07,"Cipla, Goa, India",Yes,945,7579.6,64.67
FPQ-4470,SO-34010,DN-1548,Uganda,PMO - US,From RDC,N/A - From RDC,Air,30-Nov-09,2-Dec-09,2-Dec-09,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,5000,28900.0,5.78,0.19,"Aurobindo Unit III, India",Yes,907,9044.65,56.64
FPQ-5648,SCMS-75750,ASN-9114,South Africa,PMO - US,Direct Drop,DDP,Ocean,1-Feb-11,1-Feb-11,1-Feb-11,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30,118537,534601.87,4.51,0.15,"Aurobindo Unit III, India",Yes,10373,630.5,1152.6
FPQ-4106,SO-33100,DN-1421,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,30-Nov-09,30-Oct-09,30-Oct-09,ARV,Adult,SCMS from RDC,Saquinavir,Invirase,200mg,Capsule,270,168,13540.8,80.6,0.3,Roche Basel,Yes,85,1139.5,26.54
FPQ-16158,SO-51260,DN-4283,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,8-Jul-15,7-Aug-15,27-Aug-15,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,70971,547896.12,7.72,0.13,"Hetero, Jadcherla, unit 5, IN",Yes,Weight Captured Separately,Invoiced Separately,644.87
FPQ-14105,SO-48651,DN-3821,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,4-Sep-14,3-Sep-14,6-Oct-14,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,36852,240275.04,6.52,0.11,"Cipla, Goa, India",Yes,3324,4266.62,247.0
FPQ-5648,SCMS-75990,ASN-8902,South Africa,PMO - US,Direct Drop,DDP,Ocean,12-Jan-11,6-Jan-11,6-Jan-11,ARV,Adult,Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,80381,555432.71,6.91,0.23,"Aurobindo Unit III, India",Yes,7503,6147.08,1197.51
FPQ-15406,SO-50291,DN-4306,Burundi,PMO - US,From RDC,N/A - From RDC,Air,31-Jul-15,10-Jul-15,13-Jul-15,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,240,4646.4,19.36,0.16,"Aurobindo Unit III, India",Yes,58,1289.48,5.47
Pre-PQ Process,SO-23750,DN-1100,Haiti,PMO - US,From RDC,N/A - From RDC,Air,3-Mar-09,3-Mar-09,3-Mar-09,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240,5216,10014.72,1.92,0.01,"Aurobindo Unit III, India",No,See DN-1100 (ID#:11005),See DN-1100 (ID#:11005),19.63
FPQ-15038,SCMS-262950,ASN-30813,Haiti,PMO - US,Direct Drop,EXW,Air,30-Mar-15,30-Mar-15,31-Mar-15,ARV,Pediatric,Aurobindo Pharma Limited,Zidovudine,Generic,100mg,Capsule,100,120,540.0,4.5,0.04,"Aurobindo Unit III, India",Yes,9,820.56,0.56
FPQ-12190,SO-45390,DN-3421,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,31-Jan-14,23-Dec-13,17-Jan-14,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,20124,45480.24,2.26,0.04,"Aurobindo Unit III, India",No,See DN-3421 (ID#:82617),See DN-3421 (ID#:82617),56.26
FPQ-4266,SCMS-56540,ASN-7740,Vietnam,PMO - US,Direct Drop,EXW,Air,23-Aug-10,23-Aug-10,23-Aug-10,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,22008,189488.88,8.61,0.14,"Aurobindo Unit III, India",Yes,2148,12793.94,371.4
Pre-PQ Process,SO-1880,DN-639,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,14-Mar-08,14-Mar-08,14-Mar-08,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,27662,94050.8,3.4,0.06,Hetero Unit III Hyderabad IN,Yes,4128,6539.8,150.48
FPQ-5688,SO-36914,DN-1972,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,31-Aug-10,17-Aug-10,17-Aug-10,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,2500,29375.0,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,225,6147.18,63.33
FPQ-14989,SO-51424,DN-4276,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,30-Jun-15,15-May-15,22-May-15,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,70000,1304800.0,18.64,0.16,ABBVIE Ludwigshafen Germany,Yes,15198,26180,1341.33
FPQ-11133,SO-43870,DN-3221,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,31-Jul-13,18-Jul-13,18-Jul-13,ARV,Adult,SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,36273,381591.96,10.52,0.35,Hetero Unit III Hyderabad IN,Yes,4846,13743.46,472.03
FPQ-14895,SCMS-258630,ASN-30066,Haiti,PMO - US,Direct Drop,EXW,Air,11-Mar-15,11-Mar-15,16-Mar-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,75000,768000.0,10.24,0.34,Mylan (formerly Matrix) Nashik,Yes,9057,55886.43,789.5
FPQ-12538,SCMS-198140,ASN-21069,Haiti,PMO - US,Direct Drop,EXW,Air,30-Aug-13,30-Aug-13,30-Aug-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,5000,100000.0,20.0,0.67,Mylan (formerly Matrix) Nashik,Yes,670,4909.72,123.7
FPQ-15269,SCMS-267020,ASN-29764,South Africa,PMO - US,Direct Drop,DDP,Truck,10-Dec-14,10-Dec-14,10-Dec-14,ARV,Pediatric,S. BUYS WHOLESALER,Efavirenz,Generic,200mg,Capsule,90,77,1608.43,20.89,0.23,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,1.89
FPQ-12766,SO-46482,DN-3479,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,31-Jan-14,23-Jan-14,31-Jan-14,ARV,Adult,SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,83000,925450.0,11.15,0.37,"Aurobindo Unit VII, IN",Yes,10998,75824.42,1144.78
FPQ-14372,SCMS-246550,ASN-29074,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,3-Nov-14,3-Nov-14,7-Nov-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,500,15410.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,505,6523.85,15.84
FPQ-6941,SCMS-100090,ASN-10006,Haiti,PMO - US,Direct Drop,FCA,Air,5-Apr-11,5-Apr-11,5-Apr-11,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,50mg,Chewable/dispersible tablet,60,200,1900.0,9.5,0.16,"BMS Meymac, France",Yes,94,757.42,3.14
FPQ-4325,SO-35970,DN-1677,Uganda,PMO - US,From RDC,N/A - From RDC,Air,19-Mar-10,17-Mar-10,17-Mar-10,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,3519,8586.36,2.44,0.04,Mylan (formerly Matrix) Nashik,Yes,2538,6298.34,16.83
Pre-PQ Process,SO-2424,DN-850,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,5-Sep-08,5-Sep-08,5-Sep-08,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,16990,229365.0,13.5,0.22,"Aurobindo Unit III, India",No,See DN-850 (ID#:10733),See DN-850 (ID#:10733),366.98
FPQ-12800,SO-46410,DN-3420,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,28-Nov-13,2-Dec-13,20-Dec-13,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,1700,3791.0,2.23,0.04,"Strides, Bangalore, India.",Yes,75,1556.99,4.69
FPQ-12190,SO-45380,DN-3518,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,31-Jan-14,3-Feb-14,24-Feb-14,ARV,Adult,SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,119370,1297551.9,10.87,0.36,Mylan (formerly Matrix) Nashik,Yes,13429,13380.52,1605.07
FPQ-6262,SCMS-83820,ASN-9484,South Africa,PMO - US,Direct Drop,DDP,Ocean,10-Mar-11,4-Mar-11,4-Mar-11,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30,63967,289770.51,4.53,0.15,"Aurobindo Unit III, India",Yes,5491,15331.49,624.75
FPQ-14942,SCMS-259075,ASN-32138,South Africa,PMO - US,Direct Drop,DDP,Truck,12-May-15,12-May-15,12-May-15,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,250mg,Delayed-release capsules,30,3,33.05,11.02,0.37,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,0.03
FPQ-11153,SCMS-171910,ASN-18485,Uganda,PMO - US,Direct Drop,FCA,Air,12-Mar-13,12-Mar-13,12-Mar-13,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,60,295,2020.75,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,36,876.99,2.5
FPQ-10546,SCMS-159620,ASN-17229,Tanzania,PMO - US,Direct Drop,FCA,Air,16-Jan-13,16-Jan-13,16-Jan-13,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,68,2095.76,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,116,1818.56,2.94
FPQ-12088,SO-45031,DN-3311,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,21-Jan-14,21-Jan-14,29-Jan-14,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240,6339,12361.05,1.95,0.01,"Aurobindo Unit III, India",Yes,2357,24505,15.29
FPQ-4537,SO-36001,DN-1785,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,31-May-10,18-May-10,18-May-10,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,14600,69350.0,4.75,0.16,"Aurobindo Unit III, India",Yes,1288,9736.1,149.52
FPQ-12144,SO-45631,DN-3547,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,28-Feb-14,18-Jan-14,4-Mar-14,ARV,Pediatric,SCMS from RDC,Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,2085,8340.0,4.0,0.07,Mylan (formerly Matrix) Nashik,Yes,699,8127.62,10.32
FPQ-10357,SO-42900,DN-2921,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,10-Dec-12,19-Nov-12,19-Nov-12,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,22783,122116.88,5.36,0.18,Hetero Unit III Hyderabad IN,No,See DN-2921 (ID#:82527),See DN-2921 (ID#:82527),171.21
FPQ-9506,SO-41780,DN-2717,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,7-Aug-12,24-Jul-12,24-Jul-12,ARV,Pediatric,SCMS from RDC,Zidovudine,Generic,10mg/ml,Oral solution,240,1600,3360.0,2.1,0.01,"Aurobindo Unit III, India",No,See DN-2717 (ID#:83598),See DN-2717 (ID#:83598),4.71
FPQ-14895,SCMS-261710,ASN-30231,Haiti,PMO - US,Direct Drop,EXW,Air,6-Feb-15,6-Feb-15,6-Feb-15,ARV,Adult,HETERO LABS LIMITED,Lamivudine,Generic,150mg,Tablet,60,1440,2592.0,1.8,0.03,Hetero Unit III Hyderabad IN,Yes,99,1497.53,2.66
FPQ-13221,SO-47200,DN-3888,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,29-Aug-14,23-Sep-14,17-Oct-14,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,17801,82418.63,4.63,0.15,"Aurobindo Unit VII, IN",Yes,1667,1966.09,84.73
FPQ-15692,SCMS-274390,ASN-32266,Vietnam,PMO - US,Direct Drop,EXW,Air,10-Jul-15,10-Jul-15,10-Jul-15,ARV,Adult,HETERO LABS LIMITED,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,17760,177600.0,10.0,0.33,Hetero Unit III Hyderabad IN,Yes,2523,4761.9,209.04
FPQ-12522,SCMS-199280,ASN-24433,South Africa,PMO - US,Direct Drop,DDP,Truck,7-Feb-14,7-Feb-14,7-Feb-14,ARV,Adult,S. BUYS WHOLESALER,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,57,1468.3,25.76,0.21,ABBVIE Ludwigshafen Germany,No,Weight Captured Separately,Freight Included in Commodity Cost,1.82
FPQ-7175,SCMS-103710,ASN-12153,South Africa,PMO - US,Direct Drop,DDP,Ocean,17-Oct-11,17-Oct-11,17-Oct-11,ARV,Adult,HETERO LABS LIMITED,Efavirenz,Generic,600mg,Tablet,30,92500,435675.0,4.71,0.16,Hetero Unit III Hyderabad IN,Yes,7778,20684.73,718.86
FPQ-9577,SCMS-145530,ASN-16123,Vietnam,PMO - US,Direct Drop,EXW,Air,9-Oct-12,9-Oct-12,9-Oct-12,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,1302,5403.3,4.15,0.07,Mylan (formerly Matrix) Nashik,Yes,4587,11252.53,7.58
Pre-PQ Process,SO-11850,DN-988,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,1-Dec-08,1-Dec-08,1-Dec-08,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,30654,359264.88,11.72,0.39,"Aurobindo Unit III, India",No,See DN-988 (ID#:11022),See DN-988 (ID#:11022),704.16
FPQ-9472,SO-41710,DN-2661,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,26-Jul-12,18-Jun-12,18-Jun-12,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,46190,190302.8,4.12,0.14,"Strides, Bangalore, India.",Yes,4539,4496.13,266.8
FPQ-14942,SCMS-259075,ASN-32122,South Africa,PMO - US,Direct Drop,DDP,Truck,12-May-15,12-May-15,12-May-15,ARV,Adult,PHARMACY DIRECT,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,30,414.5,13.82,0.46,Mylan (formerly Matrix) Nashik,No,Weight Captured Separately,Freight Included in Commodity Cost,0.43
FPQ-13524,SCMS-226220,ASN-26923,Vietnam,PMO - US,Direct Drop,EXW,Air,29-Jul-14,29-Jul-14,6-Aug-14,ARV,Adult,HETERO LABS LIMITED,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,7248,76104.0,10.5,0.35,Hetero Unit III Hyderabad IN,No,See ASN-26923 (ID#:13027),See ASN-26923 (ID#:13027),78.23
Pre-PQ Process,SO-33330,DN-1433,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,20-Oct-09,20-Oct-09,20-Oct-09,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,40230,458622.0,11.4,0.19,"Aurobindo Unit III, India",Yes,4531,30983.24,898.9
FPQ-12619,SO-46090,DN-3425,Guyana,PMO - US,From RDC,N/A - From RDC,Air,31-Dec-13,2-Dec-13,20-Dec-13,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,1016,5669.28,5.58,0.09,"Aurobindo Unit III, India",Yes,615,8420.68,7.01
FPQ-8365,SCMS-126490,ASN-14125,Rwanda,PMO - US,Direct Drop,EXW,Air,30-Mar-12,30-Mar-12,30-Mar-12,ARV,Adult,Aurobindo Pharma Limited,Didanosine,Generic,250mg,Delayed-release capsules,30,754,9802.0,13.0,0.43,"Aurobindo Unit III, India",No,See ASN-14125 (ID#:22658),See ASN-14125 (ID#:22658),16.17
FPQ-7659,SO-40122,DN-2339,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,12-Oct-11,12-Oct-11,12-Oct-11,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,75420,622969.2,8.26,0.14,Mylan (formerly Matrix) Nashik,No,See DN-2339 (ID#:82401),See DN-2339 (ID#:82401),1027.9
Pre-PQ Process,SO-2577,DN-738,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,20-May-08,20-May-08,20-May-08,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3226,42841.28,13.28,0.22,"Aurobindo Unit III, India",Yes,359,2750.89,68.55
FPQ-13142,SO-47150,DN-3656,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,30-Apr-14,22-Apr-14,11-Jun-14,ARV,Pediatric,SCMS from RDC,Abacavir/Lamivudine,Generic,60/30mg,Chewable/dispersible tablet - FDC,60,11000,61930.0,5.63,0.09,"Cipla, Patalganga, India",No,See DN-3656 (ID#:84922),See DN-3656 (ID#:84922),63.66
FPQ-12015,SO-44983,DN-3295,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,15-Oct-13,10-Sep-13,10-Sep-13,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,26000,152620.0,5.87,0.2,Mylan (formerly Matrix) Nashik,Yes,3888,8057.19,188.79
FPQ-11033,SO-43800,DN-3002,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,22-Mar-13,22-Mar-13,22-Mar-13,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,38000,135280.0,3.56,0.12,"Hetero, Jadcherla, unit 5, IN",Yes,3140,7733.77,167.34
FPQ-8840,SO-41137,DN-2499,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,16-Mar-12,14-Feb-12,14-Feb-12,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,50,1687.0,33.74,0.28,"Aurobindo Unit III, India",No,See DN-2499 (ID#:83004),See DN-2499 (ID#:83004),2.37
FPQ-4381,SCMS-57601,ASN-10179,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,29-Apr-11,29-Apr-11,29-Apr-11,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,60,3450,23632.5,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,440,4588.02,46.32
FPQ-11096,SO-43750,DN-3017,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,18-Mar-13,8-Aug-13,8-Aug-13,ARV,Pediatric,SCMS from RDC,Nevirapine,Generic,10mg/ml,Oral suspension,240,738,1439.1,1.95,0.01,"Aurobindo Unit III, India",Yes,112,9687.69,1.78
FPQ-4265,SCMS-56300,ASN-6250,Vietnam,PMO - US,Direct Drop,EXW,Air,20-Mar-10,20-Mar-10,20-Mar-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zidovudine,Generic,300mg,Tablet,60,336,2520.0,7.5,0.12,Mylan (formerly Matrix) Nashik,Yes,120,9013.85,4.94
FPQ-11286,SCMS-176320,ASN-18407,Haiti,PMO - US,Direct Drop,EXW,Air,11-Mar-13,11-Mar-13,11-Mar-13,ARV,Adult,Aurobindo Pharma Limited,Didanosine,Generic,400mg,Delayed-release capsules,30,384,7680.0,20.0,0.67,"Aurobindo Unit III, India",Yes,30,1119.09,9.5
FPQ-7053,SO-40180,DN-2317,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2-Nov-11,2-Nov-11,2-Nov-11,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,119098,1336279.56,11.22,0.19,"Aurobindo Unit III, India",Yes,15808,11969.68,2204.86
FPQ-10786,SO-43530,DN-2925,Uganda,PMO - US,From RDC,N/A - From RDC,Air,7-Dec-12,28-Nov-12,28-Nov-12,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,8335,222544.5,26.7,0.22,"Aurobindo Unit III, India",Yes,2034,10977.65,275.29
FPQ-5173,SO-36030,DN-1927,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,19-Jul-10,4-Aug-10,4-Aug-10,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60,23358,400356.12,17.14,0.29,Mylan (formerly Matrix) Nashik,Yes,2344,9309.52,863.17
FPQ-7304,SO-38930,DN-2141,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,18-Mar-11,13-Mar-11,13-Mar-11,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240,1965,26920.5,13.7,0.06,"Aurobindo Unit III, India",Yes,724,4520.04,44.42
FPQ-7175,SCMS-103850,ASN-10872,South Africa,PMO - US,Direct Drop,DDP,Ocean,14-Jul-11,14-Jul-11,14-Jul-11,ARV,Adult,CIPLA LIMITED,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,113000,731110.0,6.47,0.22,"Cipla, Goa, India",Yes,7569,11986.59,1206.33
FPQ-7395,SO-39140,DN-2201,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,6-Jun-11,1-Jun-11,1-Jun-11,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,2950,12449.0,4.22,0.14,Mylan (formerly Matrix) Nashik,No,See DN-2201 (ID#:84644),See DN-2201 (ID#:84644),20.54
FPQ-13628,SO-47882,DN-4016,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,28-Nov-14,2-Dec-14,8-Dec-14,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,32400,107892.0,3.33,0.11,"Strides, Bangalore, India.",No,See DN-4016 (ID#:84996),See DN-4016 (ID#:84996),110.91
FPQ-11002,SO-43720,DN-3132,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,30-May-13,29-Apr-13,29-Apr-13,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,131520,297235.2,2.26,0.04,"Cipla, Goa, India",No,See DN-3132 (ID#:83681),See DN-3132 (ID#:83681),367.68
FPQ-13629,SCMS-228900,ASN-25499,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,16-Apr-14,16-Apr-14,29-Apr-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,600,18492.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,554,5848.39,19.01
FPQ-4187,SO-33530,DN-1508,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,26-Nov-09,5-Nov-09,5-Nov-09,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,6050,17545.0,2.9,0.05,"Aurobindo Unit III, India",Yes,442,5028.04,34.39
FPQ-8464,SO-40890,DN-2741,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,16-Oct-12,23-Jul-12,23-Jul-12,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,78082,418519.52,5.36,0.18,Mylan (formerly Matrix) Nashik,No,See DN-2741 (ID#:84180),See DN-2741 (ID#:84180),690.56
Pre-PQ Process,SO-32220,DN-1390,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,21-Aug-09,21-Aug-09,21-Aug-09,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,18180,206343.0,11.35,0.19,"Aurobindo Unit III, India",Yes,2047,6739.08,404.43
FPQ-11033,SO-43780,DN-3281,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,27-Sep-13,27-Sep-13,27-Sep-13,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,13100,61570.0,4.7,0.08,"Strides, Bangalore, India.",No,See DN-3281 (ID#:82599),See DN-3281 (ID#:82599),76.16
FPQ-6262,SCMS-84200,ASN-9692,South Africa,PMO - US,Direct Drop,DDP,Ocean,23-Feb-11,11-Mar-11,11-Mar-11,ARV,Adult,CIPLA LIMITED,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,12722,89435.66,7.03,0.23,"Cipla, Goa, India",Yes,875,6038.22,192.82
FPQ-4698,SCMS-62970,ASN-9989,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,9-Mar-11,9-Mar-11,9-Mar-11,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,60,4014,27495.9,6.85,0.11,ABBVIE Ludwigshafen Germany,Yes,507,4520.66,59.28
