PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
FPQ-9968,SO-42684,DN-2903,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,6-Nov-12,6-Nov-12,6-Nov-12,ARV,Adult,SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,31560,418801.2,13.27,0.44,Mylan (formerly Matrix) Nashik,Yes,3856,15459.09,587.16
FPQ-4496,SO-34990,DN-1749,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,26-Mar-10,25-Mar-10,25-Mar-10,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,3680,36800.0,10.0,0.33,Mylan (formerly Matrix) Nashik,Yes,328,3522.52,79.34
Pre-PQ Process,SO-17600,DN-1116,Zambia,PMO - US,From RDC,N/A - From RDC,Air,17-Mar-09,17-Mar-09,17-Mar-09,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,100000,1100000.0,11.0,0.37,"Aurobindo Unit III, India",Yes,8645,14041.17,2156.0
FPQ-8295,SO-40750,DN-2420,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,9-Dec-11,19-Nov-11,19-Nov-11,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,14480,129885.6,8.97,0.3,"Aurobindo Unit III, India",No,See DN-2420 (ID#:82989),See DN-2420 (ID#:82989),214.31
FPQ-13554,SO-47630,DN-3561,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,30-May-14,19-May-14,26-Jun-14,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60,489,5555.04,11.36,0.19,"Aurobindo Unit III, India",Yes,2045,16083.32,5.71
FPQ-11032,SO-43830,DN-3203,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,18-Jul-13,23-Jul-13,23-Jul-13,ARV,Adult,SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,176213,2283720.48,12.96,0.43,Mylan (formerly Matrix) Nashik,Yes,19962,31401.08,2824.96
FPQ-4537,SO-36007,DN-1793,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,31-May-10,18-May-10,18-May-10,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,40000,448800.0,11.22,0.19,"Aurobindo Unit III, India",Yes,4693,9736.1,967.61
FPQ-5688,SO-36915,DN-1973,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,31-Aug-10,17-Aug-10,17-Aug-10,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,1328,15604.0,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,122,6147.18,33.64
FPQ-14942,SCMS-295800,ASN-33865,South Africa,PMO - US,Direct Drop,DDP,Truck,24-Aug-15,24-Aug-15,24-Aug-15,ARV,Adult,PHARMACY DIRECT,Nevirapine,Generic,200mg,Tablet,60,18,247.28,13.74,0.23,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,0.25
Pre-PQ Process,SO-15950,DN-945,Haiti,PMO - US,From RDC,N/A - From RDC,Air,27-Oct-08,27-Oct-08,27-Oct-08,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,2139,23529.0,11.0,0.37,"Aurobindo Unit III, India",No,See DN-945 (ID#:11018),See DN-945 (ID#:11018),37.65
FPQ-13508,SO-47540,DN-3825,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,30-Sep-14,29-Jun-14,4-Aug-14,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,48253,105191.54,2.18,0.04,"Strides, Bangalore, India.",No,See DN-3825 (ID#:82702),See DN-3825 (ID#:82702),108.14
FPQ-9968,SO-43433,DN-2944,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,4-Dec-12,4-Dec-12,4-Dec-12,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Tablet,90,6654,48574.2,7.3,0.08,"Strides, Bangalore, India.",Yes,465,51090,68.1
FPQ-10405,SO-42980,DN-2958,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,1-Feb-13,14-Jan-13,14-Jan-13,ARV,Pediatric,SCMS from RDC,Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60,3952,10907.52,2.76,0.05,"Aurobindo Unit III, India",Yes,2705,9879.25,15.29
FPQ-4537,SO-34900,DN-1708,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,31-Mar-10,31-Mar-10,31-Mar-10,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90,1000,10070.0,10.07,0.11,"Aurobindo Unit III, India",Yes,119,Freight Included in Commodity Cost,21.71
FPQ-3859,SCMS-48920,ASN-5840,Rwanda,PMO - US,Direct Drop,CIP,Air,27-Jan-10,27-Jan-10,27-Jan-10,ARV,Adult,Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,5520,47251.2,8.56,0.29,"Aurobindo Unit III, India",Yes,516,2355.52,92.61
FPQ-14252,SO-48850,DN-3843,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,13-Aug-14,24-Sep-14,6-Nov-14,ARV,Adult,SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,3300,35574.0,10.78,0.36,Hetero Unit III Hyderabad IN,No,See DN-3843 (ID#:82707),See DN-3843 (ID#:82707),36.57
FPQ-4537,SO-34913,DN-1780,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,31-May-10,18-May-10,18-May-10,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,12240,58140.0,4.75,0.16,"Aurobindo Unit III, India",Yes,1082,9736.1,125.35
FPQ-14226,SO-48870,DN-3903,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,30-Dec-14,30-Oct-14,13-Nov-14,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,38774,179911.36,4.64,0.15,Ranbaxy per Shasun Pharma,No,See DN-3903 (ID#:86131),See DN-3903 (ID#:86131),184.95
Pre-PQ Process,SO-33910,DN-1488,Lebanon,PMO - US,From RDC,N/A - From RDC,Air,24-Nov-09,24-Nov-09,24-Nov-09,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,200,2.0,0.01,0.0,Hetero Unit III Hyderabad IN,No,See DN-1488 (ID#:11074),See DN-1488 (ID#:11074),0.0
Pre-PQ Process,SO-1513,DN-516,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,10-Jan-08,10-Jan-08,10-Jan-08,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,591,10047.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,37,504,16.08
Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,PMO - US,Direct Drop,DDP,Truck,17-May-09,9-Oct-08,9-Oct-08,ARV,Pediatric,S. BUYS WHOLESALER,Zidovudine,Retrovir,10mg/ml,Oral solution,200,120,733.2,6.11,0.03,GSK Mississauga (Canada),No,Weight Captured Separately,Freight Included in Commodity Cost,1.44
FPQ-12066,SO-45081,DN-3360,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,24-Jan-14,24-Jan-14,17-Mar-14,ARV,Adult,SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,133970,1647831.0,12.3,0.41,"Aurobindo Unit VII, IN",No,See DN-3360 (ID#:84864),See DN-3360 (ID#:84864),2038.37
Pre-PQ Process,SO-2042,DN-682,Haiti,PMO - US,From RDC,N/A - From RDC,Air,21-Mar-08,21-Mar-08,21-Mar-08,ARV,Pediatric,SCMS from RDC,Abacavir,Generic,20mg/ml,Oral solution,240,128,2112.0,16.5,0.07,"Aurobindo Unit III, India",No,See DN-682 (ID#:10963),See DN-682 (ID#:10963),3.38
FPQ-6800,SO-39690,DN-2228,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,21-Jun-11,5-Jul-11,5-Jul-11,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,17376,43613.76,2.51,0.04,"Strides, Bangalore, India.",Yes,1237,13398.06,71.96
FPQ-6975,SCMS-98300,ASN-10837,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,10-Jun-11,10-Jun-11,10-Jun-11,ARV,Adult,Hoffmann-La Roche ltd Basel,Saquinavir,Invirase,500mg,Tablet,120,1464,154437.73,105.49,0.88,Roche Madrid,Yes,255,4204.67,254.82
Pre-PQ Process,SCMS-13900,ASN-990,Rwanda,PMO - US,Direct Drop,EXW,Air,28-Jan-08,28-Jan-08,28-Jan-08,ARV,Adult,ASPEN PHARMACARE,Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1609,27353.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",Yes,157,7922.24,43.76
Pre-PQ Process,SO-32550,DN-1382,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,17-Aug-09,17-Aug-09,17-Aug-09,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,108000,946080.0,8.76,0.15,"Aurobindo Unit III, India",Yes,10865,13518.56,1854.32
FPQ-8787,SO-41150,DN-2623,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,16-Apr-12,11-Apr-12,11-Apr-12,ARV,Pediatric,SCMS from RDC,Didanosine,Generic,200mg,Delayed-release capsules,30,1235,13585.0,11.0,0.37,"Aurobindo Unit III, India",Yes,649,1191.02,19.05
FPQ-12590,SCMS-210470,ASN-24371,Haiti,PMO - US,Direct Drop,EXW,Ocean,9-May-14,9-May-14,12-May-14,ARV,Pediatric,Aurobindo Pharma Limited,Efavirenz,Generic,50mg,Capsule,30,2688,4193.28,1.56,0.05,"Aurobindo Unit III, India",Yes,154,2520.54,5.19
FPQ-6384,SCMS-87780,ASN-9408,Vietnam,PMO - US,Direct Drop,EXW,Air,16-Feb-11,16-Feb-11,16-Feb-11,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,35000,292250.0,8.35,0.14,Hetero Unit III Hyderabad IN,No,See ASN-9408 (ID#:39263),See ASN-9408 (ID#:39263),630.09
Pre-PQ Process,SCMS-40000,ASN-3675,Haiti,PMO - US,Direct Drop,CIP,Air,31-Mar-09,31-Mar-09,31-Mar-09,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,50mg,Chewable/dispersible tablet,60,80,760.0,9.5,0.16,"BMS Meymac, France",Yes,43,260,1.49
FPQ-13628,SO-47860,DN-4139,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,27-Feb-15,25-Feb-15,30-Mar-15,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,104000,699920.0,6.73,0.11,Hetero Unit III Hyderabad IN,Yes,9208,35832.12,719.52
FPQ-10119,SO-42710,DN-2961,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,6-Feb-13,6-Feb-13,6-Feb-13,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,34997,187583.92,5.36,0.18,"Aurobindo Unit VII, IN",Yes,10698,20994.85,262.99
FPQ-6483,SO-38900,DN-2318,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,30-Sep-11,23-Sep-11,23-Sep-11,ARV,Pediatric,SCMS from RDC,Didanosine,Generic,200mg,Delayed-release capsules,30,36,396.0,11.0,0.37,"Aurobindo Unit III, India",No,See DN-2318 (ID#:82971),See DN-2318 (ID#:82971),0.85
FPQ-12047,SO-45050,DN-3331,Guyana,PMO - US,From RDC,N/A - From RDC,Air,30-Sep-13,4-Oct-13,22-Oct-13,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1634,33039.48,20.22,0.17,ABBVIE Ludwigshafen Germany,No,See DN-3331 (ID#:82603),See DN-3331 (ID#:82603),40.87
FPQ-14766,SO-49685,DN-4172,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,28-Feb-15,10-Mar-15,17-Mar-15,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,59014,455588.08,7.72,0.13,Hetero Unit III Hyderabad IN,No,See DN-4172 (ID#:82785),See DN-4172 (ID#:82785),468.34
